REF_AREA,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,AGE_GROUP,2010_hdi,2018_hdi,2010_hcp,2018_hcp,2010_hci,2018_hci
AGO,Angola,"Population ages 55-59, female (% of female population)",Female,55 to 59 years old,working_age,2.17615512031456,2.39183337978182,87.855,85.693,,0.3601909577846527
AGO,Angola,"Population ages 55-59, male (% of male population)",Male,55 to 59 years old,working_age,2.05632088953613,2.21607913450346,87.855,85.693,,0.3601909577846527
AGO,Angola,"Population ages 60-64, female (% of female population)",Female,60 to 64 years old,working_age,1.66861872430052,1.76723467118561,87.855,85.693,,0.3601909577846527
AGO,Angola,"Population ages 60-64, male (% of male population)",Male,60 to 64 years old,working_age,1.50363474685204,1.60564292581782,87.855,85.693,,0.3601909577846527
AGO,Angola,"Population ages 65-69, female (% of female population)",Female,65 to 69 years old,retirement_age,1.30146113260268,1.20350701403755,87.855,85.693,,0.3601909577846527
AGO,Angola,"Population ages 65-69, male (% of male population)",Male,65 to 69 years old,retirement_age,1.04877493956601,1.05156253237574,87.855,85.693,,0.3601909577846527
AGO,Angola,"Population ages 65 and above, female (% of female population)",Female,65 years old and over,retirement_age,3.09683483009901,3.0102473798141,87.855,85.693,,0.3601909577846527
AGO,Angola,"Population ages 65 and above, female",Female,65 years old and over,retirement_age,365742.0,476503.0,87.855,85.693,,0.3601909577846527
AGO,Angola,"Population ages 65 and above, male (% of male population)",Male,65 years old and over,retirement_age,2.3525688120326,2.36841503843648,87.855,85.693,,0.3601909577846527
AGO,Angola,"Population ages 65 and above, male",Male,65 years old and over,retirement_age,270184.0,366341.0,87.855,85.693,,0.3601909577846527
AGO,Angola,"Population ages 65 and above, total",Total,65 years old and over,retirement_age,635926.0,842844.0,87.855,85.693,,0.3601909577846527
AGO,Angola,Population ages 65 and above (% of total population),Total,65 years old and over,retirement_age,2.72990245687615,2.69303871230468,87.855,85.693,,0.3601909577846527
AGO,Angola,"Population ages 70-74, female (% of female population)",Female,70 to 74 years old,retirement_age,0.929384059313199,0.868313498518118,87.855,85.693,,0.3601909577846527
AGO,Angola,"Population ages 70-74, male (% of male population)",Male,70 to 74 years old,retirement_age,0.686847974087123,0.688711765994518,87.855,85.693,,0.3601909577846527
AGO,Angola,"Population ages 75-79, female (% of female population)",Female,75 to 79 years old,retirement_age,0.543615416774712,0.538309705251257,87.855,85.693,,0.3601909577846527
AGO,Angola,"Population ages 75-79, male (% of male population)",Male,75 to 79 years old,retirement_age,0.389616128502097,0.374807870923267,87.855,85.693,,0.3601909577846527
AGO,Angola,"Population ages 80 and above, female (% of female population)",Female,80 years old and over,retirement_age,0.322374221408424,0.400117162007177,87.855,85.693,,0.3601909577846527
AGO,Angola,"Population ages 80 and above, male (% of male population)",Male,80 years old and over,retirement_age,0.227329769877369,0.253332869142954,87.855,85.693,,0.3601909577846527
AGO,Angola,GDP per capita (current US$),Total,All age ranges or no breakdown by age,other,4101.637155667117,2860.093648368199,87.855,85.693,,0.3601909577846527
AGO,Angola,GDP per capita growth (annual %),Total,All age ranges or no breakdown by age,other,1.3157907662097585,-3.968524543129419,87.855,85.693,,0.3601909577846527
ARG,Argentina,"Population ages 20-24, female (% of female population)",Female,20 to 24 years old,working_age,7.84831827822213,7.65289913475849,65.727,64.877,0.5885570645332336,0.6173667311668396
ARG,Argentina,"Population ages 20-24, male (% of male population)",Male,20 to 24 years old,working_age,8.3696416719891,8.11133043762719,65.727,64.877,0.5885570645332336,0.6173667311668396
ARG,Argentina,"Population ages 25-29, female (% of female population)",Female,25 to 29 years old,working_age,7.63241561032529,7.52708232942859,65.727,64.877,0.5885570645332336,0.6173667311668396
ARG,Argentina,"Population ages 25-29, male (% of male population)",Male,25 to 29 years old,working_age,8.04102822460843,7.94257795614739,65.727,64.877,0.5885570645332336,0.6173667311668396
ARG,Argentina,"Population ages 30-34, female (% of female population)",Female,30 to 34 years old,working_age,7.39640157910594,7.11989900895945,65.727,64.877,0.5885570645332336,0.6173667311668396
ARG,Argentina,"Population ages 30-34, male (% of male population)",Male,30 to 34 years old,working_age,7.77687453955781,7.46138285086129,65.727,64.877,0.5885570645332336,0.6173667311668396
ARG,Argentina,"Population ages 35-39, female (% of female population)",Female,35 to 39 years old,working_age,6.50256879570667,7.01694324686604,65.727,64.877,0.5885570645332336,0.6173667311668396
ARG,Argentina,"Population ages 35-39, male (% of male population)",Male,35 to 39 years old,working_age,6.69250431665509,7.28901068025068,65.727,64.877,0.5885570645332336,0.6173667311668396
ARG,Argentina,"Population ages 40-44, female (% of female population)",Female,40 to 44 years old,working_age,5.69898814942705,6.50941387243551,65.727,64.877,0.5885570645332336,0.6173667311668396
ARG,Argentina,"Population ages 40-44, male (% of male population)",Male,40 to 44 years old,working_age,5.79495370676101,6.72013238804124,65.727,64.877,0.5885570645332336,0.6173667311668396
ARG,Argentina,"Population ages 45-49, female (% of female population)",Female,45 to 49 years old,working_age,5.45671086505869,5.61845063205132,65.727,64.877,0.5885570645332336,0.6173667311668396
ARG,Argentina,"Population ages 45-49, male (% of male population)",Male,45 to 49 years old,working_age,5.53517885525725,5.65177312493046,65.727,64.877,0.5885570645332336,0.6173667311668396
ARG,Argentina,"Population ages 50-54, female (% of female population)",Female,50 to 54 years old,working_age,5.16457655332988,5.03093759017374,65.727,64.877,0.5885570645332336,0.6173667311668396
ARG,Argentina,"Population ages 50-54, male (% of male population)",Male,50 to 54 years old,working_age,5.15462710017691,5.01445493386548,65.727,64.877,0.5885570645332336,0.6173667311668396
ARG,Argentina,"Population ages 55-59, female (% of female population)",Female,55 to 59 years old,working_age,4.79743403903788,4.79602165875625,65.727,64.877,0.5885570645332336,0.6173667311668396
ARG,Argentina,"Population ages 55-59, male (% of male population)",Male,55 to 59 years old,working_age,4.64280345322606,4.70054004723118,65.727,64.877,0.5885570645332336,0.6173667311668396
ARG,Argentina,"Population ages 60-64, female (% of female population)",Female,60 to 64 years old,working_age,4.26018530418629,4.41427133217627,65.727,64.877,0.5885570645332336,0.6173667311668396
ARG,Argentina,"Population ages 60-64, male (% of male population)",Male,60 to 64 years old,working_age,3.93070514289957,4.15633344774983,65.727,64.877,0.5885570645332336,0.6173667311668396
ARG,Argentina,"Population ages 65-69, female (% of female population)",Female,65 to 69 years old,retirement_age,3.55777918067838,3.92167170928909,65.727,64.877,0.5885570645332336,0.6173667311668396
ARG,Argentina,"Population ages 65-69, male (% of male population)",Male,65 to 69 years old,retirement_age,3.05827830488909,3.45957829018395,65.727,64.877,0.5885570645332336,0.6173667311668396
ARG,Argentina,"Population ages 65 and above, female",Female,65 years old and over,retirement_age,2554388.0,2982881.0,65.727,64.877,0.5885570645332336,0.6173667311668396
ARG,Argentina,"Population ages 65 and above, female (% of female population)",Female,65 years old and over,retirement_age,12.2314845691255,13.250127842383,65.727,64.877,0.5885570645332336,0.6173667311668396
ARG,Argentina,"Population ages 65 and above, male",Male,65 years old and over,retirement_age,1740504.0,2136199.0,65.727,64.877,0.5885570645332336,0.6173667311668396
ARG,Argentina,"Population ages 65 and above, male (% of male population)",Male,65 years old and over,retirement_age,8.52980112327985,9.64737927845618,65.727,64.877,0.5885570645332336,0.6173667311668396
ARG,Argentina,Population ages 65 and above (% of total population),Total,65 years old and over,retirement_age,10.4021031811045,11.4636515159043,65.727,64.877,0.5885570645332336,0.6173667311668396
ARG,Argentina,"Population ages 65 and above, total",Total,65 years old and over,retirement_age,4294893.0,5119080.0,65.727,64.877,0.5885570645332336,0.6173667311668396
ARG,Argentina,"Population ages 70-74, female (% of female population)",Female,70 to 74 years old,retirement_age,2.92301188160191,3.26968443986735,65.727,64.877,0.5885570645332336,0.6173667311668396
ARG,Argentina,"Population ages 70-74, male (% of male population)",Male,70 to 74 years old,retirement_age,2.28373934742148,2.62818785829813,65.727,64.877,0.5885570645332336,0.6173667311668396
